STCKS_ID;MTRL;MTRL_DSCR;MTRL_TYPE;MTRL_BTCH;MTRL_STCK_UNRS;MTRL_STCK_RSTR;MTRL_STCK_TRNS;MTRL_STCK_QINS;MTRL_STCK_BLCK;MTRL_STCK_RTRN;MTRL_STCK_TOT;MTRL_STCK_UNT;MTRL_VAL_UNRS;MTRL_VAL_RSTR;MTRL_VAL_TRNS;MTRL_VAL_QINS;MTRL_VAL_BLCK;MTRL_VAL_RTRN;MTRL_VAL_TOT;MTRL_VAL_UNT;STRG_LOC
1528788;70021161;Material 70021161;VERP;3111-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528789;70021161;Material 70021161;VERP;3147-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528790;70021161;Material 70021161;VERP;3171-0408;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528791;70021163;Material 70021163;VERP;3139-0807;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528792;70021164;Material 70021164;VERP;3098-0607;41.17;0.00;0.00;0.00;0.00;0.00;41.17;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528793;70021165;Material 70021165;VERP;3088-1107;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528794;70021165;Material 70021165;VERP;3008-0807;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528795;70021165;Material 70021165;VERP;3026-0108;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528796;70021165;Material 70021165;VERP;3026-0708;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528797;70021165;Material 70021165;VERP;3041-0708;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528798;70021165;Material 70021165;VERP;3045-0807;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528799;70021165;Material 70021165;VERP;3053-1008;4.30;0.00;0.00;0.00;0.00;0.00;4.30;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528800;70021165;Material 70021165;VERP;3067-1108;2.52;0.00;0.00;0.00;0.00;0.00;2.52;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528801;70021165;Material 70021165;VERP;3070-1207;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528802;70021165;Material 70021165;VERP;3083-1007;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528803;70021165;Material 70021165;VERP;3089-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528804;70021165;Material 70021165;VERP;3098-0908;0.40;0.00;0.00;0.00;0.00;0.00;0.40;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528805;70021165;Material 70021165;VERP;3124-0408;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528806;70021165;Material 70021165;VERP;3154-0507;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528807;70021166;Material 70021166;VERP;3024-0708;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528808;70021166;Material 70021166;VERP;3028-1107;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528809;70021166;Material 70021166;VERP;3029-1107;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528810;70021166;Material 70021166;VERP;3047-0807;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528811;70021166;Material 70021166;VERP;3050-0108;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528812;70021166;Material 70021166;VERP;3072-0908;680.00;0.00;0.00;0.00;0.00;0.00;680.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528813;70021166;Material 70021166;VERP;3081-1107;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528814;70021166;Material 70021166;VERP;3085-0707;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528815;70021166;Material 70021166;VERP;3094-0508;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528816;70021166;Material 70021166;VERP;3095-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528817;70021166;Material 70021166;VERP;3097-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528818;70021166;Material 70021166;VERP;3107-1008;2045.00;0.00;0.00;0.00;0.00;0.00;2045.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528819;70021166;Material 70021166;VERP;3114-0708;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528820;70021167;Material 70021167;VERP;3018-0808;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KG;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528821;70021167;Material 70021167;VERP;3046-0507;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KG;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528822;70021167;Material 70021167;VERP;3056-0508;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KG;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528823;70021167;Material 70021167;VERP;3064-0507;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KG;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528824;70021167;Material 70021167;VERP;3076-0908;18.60;0.00;0.00;0.00;0.00;0.00;18.60;KG;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528825;70021167;Material 70021167;VERP;3107-0508;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KG;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528826;70021167;Material 70021167;VERP;3109-0408;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KG;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528827;70021168;Material 70021168;VERP;3065-0507;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528828;70021169;Material 70021169;VERP;3140-0807;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528829;70021170;Material 70021170;VERP;VERP;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528830;70021170;Material 70021170;VERP;VERP;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5102
1528831;70021174;Material 70021174;VERP;VERP;28.00;0.00;0.00;0.00;0.00;0.00;28.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
